RSI,ATR_Pct,BB_Position,BB_Width,MACD,MACD_Hist,MACD_Signal,Date,ClosePrice,NextOpen,OvernightReturn,Volume,Ticker,RSI_Bin,BB_Bin,ATR_Bin,MACD_Bin
49.5,0.902,,,-0.2463,-0.106,-0.1403,2026-03-03,263.6889953613281,262.45001220703125,-0.46986532471676723,27533188,AAPL,40-50,,<1%,-0.5 to -0.1
39.62,0.822,24.76,1.99,-0.1903,-0.0928,-0.0975,2026-03-04,262.45001220703125,260.260009765625,-0.8344455475500889,27779487,AAPL,30-40,10-30%,<1%,-0.1 to 0
38.11,0.825,32.22,3.39,-1.2683,-0.3659,-0.9024,2026-03-05,260.260009765625,257.44000244140625,-1.0835346262986323,37096848,AAPL,30-40,30-50%,<1%,-0.5 to -0.1
35.39,0.857,30.04,4.44,-1.682,-0.1516,-1.5304,2026-03-06,257.44000244140625,259.8900146484375,0.9516827935817318,27536198,AAPL,30-40,30-50%,<1%,-0.5 to -0.1
48.72,0.817,85.28,2.17,-0.8903,0.4451,-1.3355,2026-03-09,259.8900146484375,260.7200012207031,0.3193607008673993,27976877,AAPL,40-50,70-90%,<1%,0.1 to 0.5
63.3,0.753,73.67,3.26,0.3048,0.5056,-0.2008,2026-03-10,260.7200012207031,260.80999755859375,0.03451838657151374,21914637,AAPL,60-70,70-90%,<1%,>0.5
56.06,0.568,63.32,2.41,0.2504,0.0911,0.1593,2026-03-11,260.80999755859375,255.75,-1.9401087404469441,17045507,AAPL,50-60,50-70%,<1%,0 to 0.1
30.1,0.638,20.68,4.22,-1.1545,-0.4324,-0.7221,2026-03-12,255.75,250.11500549316406,-2.203321410297532,28450536,AAPL,30-40,10-30%,<1%,-0.5 to -0.1
14.16,0.737,11.52,5.73,-2.2939,-0.6168,-1.6771,2026-03-13,250.11500549316406,252.77999877929688,1.0655071577485353,28629040,AAPL,<30,10-30%,<1%,<-0.5
35.87,0.613,41.88,2.93,-1.445,0.2322,-1.6771,2026-03-16,252.77999877929688,254.22999572753906,0.5736201262933616,16352087,AAPL,30-40,30-50%,<1%,0.1 to 0.5
72.28,0.562,74.6,2.1,-0.527,0.3949,-0.9218,2026-03-17,254.22999572753906,249.91000366210938,-1.6992456193326122,15982427,AAPL,>70,70-90%,<1%,0.1 to 0.5
35.08,0.579,3.23,2.36,-1.1977,-0.238,-0.9596,2026-03-18,249.91000366210938,248.90699768066406,-0.40134687157278304,15044831,AAPL,30-40,<10%,<1%,-0.5 to -0.1
16.15,0.663,24.7,3.67,-1.5293,-0.1531,-1.3762,2026-03-19,248.90699768066406,248.19000244140625,-0.28805748570303047,20884961,AAPL,<30,10-30%,<1%,-0.5 to -0.1
34.39,0.68,30.62,2.13,-1.3059,0.0984,-1.4043,2026-03-20,248.19000244140625,251.44000244140625,1.3094806269512205,41665589,AAPL,30-40,30-50%,<1%,0 to 0.1
62.43,0.742,78.69,2.67,0.0159,0.4978,-0.4819,2026-03-23,251.44000244140625,251.75,0.12328887829453627,29735252,AAPL,60-70,70-90%,<1%,0.1 to 0.5
63.24,0.789,58.27,3.37,0.532,0.1912,0.3408,2026-03-24,251.75,252.57000732421875,0.32572286960030894,23200838,AAPL,60-70,50-70%,<1%,0.1 to 0.5
55.33,0.657,47.53,1.83,0.6318,-0.0026,0.6344,2026-03-25,252.57000732421875,252.8800048828125,0.12273728059715161,20442956,AAPL,50-60,30-50%,<1%,-0.1 to 0
54.78,0.719,32.12,1.96,0.6668,-0.1504,0.8171,2026-03-26,252.8800048828125,248.6199951171875,-1.684597312309899,31619316,AAPL,50-60,30-50%,<1%,-0.5 to -0.1
36.91,0.83,1.95,3.61,-0.7733,-0.7644,-0.0089,2026-03-27,248.6199951171875,246.5399932861328,-0.8366188850073231,35467323,AAPL,30-40,<10%,<1%,<-0.5
23.97,0.767,23.27,5.8,-1.8134,-0.5112,-1.3022,2026-03-30,246.5399932861328,253.7899932861328,2.9406993580898266,26197301,AAPL,<30,10-30%,<1%,<-0.5
70.26,0.808,89.22,4.47,0.2611,0.8747,-0.6137,2026-03-31,253.7899932861328,255.69000244140625,0.748654086267031,32280271,AAPL,>70,70-90%,<1%,>0.5
88.05,0.731,80.07,6.03,1.295,0.5961,0.6989,2026-04-01,255.69000244140625,255.88999938964844,0.07821852490614845,28817997,AAPL,>70,70-90%,<1%,>0.5
57.87,0.686,76.11,2.93,1.1556,0.1237,1.0319,2026-04-02,255.88999938964844,258.8869934082031,1.1712040430275295,21329803,AAPL,50-60,70-90%,<1%,0.1 to 0.5
57.69,0.839,75.76,3.81,1.8642,0.1637,1.7005,2026-04-06,258.8869934082031,253.49000549316406,-2.084688706832516,21725109,AAPL,50-60,70-90%,<1%,0.1 to 0.5
45.8,1.189,40.59,6.29,-0.5523,-0.6333,0.081,2026-04-07,253.49000549316406,258.92999267578125,2.1460361610840195,51070515,AAPL,40-50,30-50%,1-2%,<-0.5
50.09,1.134,70.95,6.27,0.9366,0.4309,0.5057,2026-04-08,258.92999267578125,260.3900146484375,0.5638674599139248,30721456,AAPL,50-60,70-90%,1-2%,0.1 to 0.5
77.5,0.723,77.62,5.86,1.4788,0.3444,1.1344,2026-04-09,260.3900146484375,260.3800048828125,-0.00384414342405881,20137982,AAPL,>70,70-90%,<1%,0.1 to 0.5
56.89,0.588,71.29,2.2,1.3023,-0.0763,1.3786,2026-04-10,260.3800048828125,259.2099914550781,-0.4493484160816963,21193428,AAPL,50-60,70-90%,<1%,-0.1 to 0
44.35,0.537,48.99,2.04,0.3483,-0.3236,0.6718,2026-04-13,259.2099914550781,258.8550109863281,-0.13694706240192644,24905483,AAPL,40-50,30-50%,<1%,-0.5 to -0.1
41.38,0.574,50.54,1.74,0.1928,-0.1198,0.3126,2026-04-14,258.8550109863281,266.3699951171875,2.9031634744966617,32324448,AAPL,40-50,50-70%,<1%,-0.5 to -0.1
81.54,0.671,97.1,4.86,1.9235,0.7213,1.2021,2026-04-15,266.3699951171875,263.3599853515625,-1.130010819837557,37913054,AAPL,>70,>90%,<1%,>0.5
65.23,0.746,60.67,4.3,1.2748,-0.1017,1.3766,2026-04-16,263.3599853515625,270.18499755859375,2.5915144997902706,32533890,AAPL,60-70,50-70%,<1%,-0.5 to -0.1
60.26,0.784,79.56,5.01,2.6822,0.3856,2.2966,2026-04-17,270.18499755859375,272.92999267578125,1.015968740674511,45784116,AAPL,60-70,70-90%,<1%,0.1 to 0.5
76.64,0.728,73.08,6.06,2.8562,0.0498,2.8064,2026-04-20,272.92999267578125,266.2200012207031,-2.458502779153715,27435522,AAPL,>70,70-90%,<1%,0 to 0.1
38.71,0.695,12.17,3.91,0.4206,-0.9679,1.3884,2026-04-21,266.2200012207031,273.19000244140625,2.6181358232827856,40586763,AAPL,30-40,10-30%,<1%,<-0.5
50.69,0.694,71.09,4.22,1.4798,0.1756,1.3042,2026-04-22,273.19000244140625,273.44000244140625,0.09151140150291948,33053337,AAPL,50-60,70-90%,<1%,0.1 to 0.5
77.64,0.618,68.18,4.54,1.4454,-0.018,1.4634,2026-04-23,273.44000244140625,271.05999755859375,-0.8703938200565586,24747520,AAPL,>70,50-70%,<1%,-0.1 to 0
39.6,0.597,27.09,2.03,0.206,-0.4941,0.7002,2026-04-24,271.05999755859375,267.67999267578125,-1.2469582060266382,27728503,AAPL,30-40,10-30%,<1%,-0.5 to -0.1
26.64,0.629,27.04,4.1,-1.0398,-0.5062,-0.5336,2026-04-27,267.67999267578125,270.760009765625,1.1506340309767937,28451020,AAPL,<30,10-30%,<1%,<-0.5
48.95,0.635,72.12,2.61,-0.0564,0.277,-0.3334,2026-04-28,270.760009765625,270.19000244140625,-0.21052123787118626,27191458,AAPL,40-50,70-90%,<1%,0.1 to 0.5
60.89,0.597,66.81,2.37,0.0384,0.1325,-0.0941,2026-04-29,270.19000244140625,271.3599853515625,0.4330222804635353,19702864,AAPL,60-70,50-70%,<1%,0.1 to 0.5
52.28,0.763,57.2,2.26,0.8311,0.3031,0.5281,2026-04-30,271.3599853515625,280.1499938964844,3.239242710576473,45398109,AAPL,50-60,50-70%,<1%,0.1 to 0.5
