Ticker,Date,ClosePrice,ChangePct,AbsChange,OvernightReturn,20D_Range,VolRatio,5D_Change,Direction,Volume,DayOfWeek,Bin,RangeBin,VolBin,Month,OvernightAbs,AvgOvernightVol20,VolSpike,GapBin
AAPL,2025-06-24,199.5084991455078,-0.5955377660487593,0.5955377660487593,0.5741380498455406,46.82180095925637,1.0116501438959309,0.9474787776566407,Down,54064000.0,Tuesday,<1%,25-50%,0.8-1.2x,June,0.5741380498455406,,,0.5 to 1%
AAPL,2025-06-25,200.76351928710938,0.6290559785556926,0.6290559785556926,-0.06448428605525525,58.1019946737347,0.7513925942992887,3.025957890340303,Up,39525700.0,Wednesday,<1%,50-75%,<0.8x,June,0.06448428605525525,,,-0.5 to 0%
AAPL,2025-06-26,200.2057647705078,-0.2778166663854553,0.2778166663854553,0.4427836026260179,53.088864777379406,0.9607171313083402,2.2484682623141072,Down,50799100.0,Thursday,<1%,50-75%,0.8-1.2x,June,0.4427836026260179,,,0 to 0.5%
AAPL,2025-06-27,200.2854461669922,0.039799751308722264,0.039799751308722264,0.4624849778568141,53.80504578355585,1.3562028706318185,0.039799751308722264,Up,73188600.0,Friday,<1%,50-75%,1.2-2x,June,0.4624849778568141,,,0 to 0.5%
AAPL,2025-06-30,204.3592529296875,2.034000393268065,2.034000393268065,0.7311030828888176,81.98051034273504,1.6705202327897446,1.8213345647586143,Up,91912800.0,Monday,2-3%,75-100%,1.2-2x,June,0.7311030828888176,,,0.5 to 1%
AAPL,2025-07-01,206.99879455566406,1.291618357444646,1.291618357444646,0.5244937352932189,84.32543692077756,1.3776994057134844,3.754374095458135,Up,78788900.0,Tuesday,1-2%,75-100%,1.2-2x,July,0.5244937352932189,,,0.5 to 1%
AAPL,2025-07-02,211.6005401611328,2.223078455769123,2.223078455769123,-0.13651706567472388,95.07392707327622,1.1660474313354159,5.397903420155514,Up,67941800.0,Wednesday,2-3%,75-100%,0.8-1.2x,July,0.13651706567472388,,,-0.5 to 0%
AAPL,2025-07-03,212.70614624023438,0.5224968132215846,0.5224968132215846,-0.40739844971757755,94.38206850785772,0.6044124818911669,6.243766998445577,Up,34955800.0,Thursday,<1%,75-100%,<0.8x,July,0.40739844971757755,,,-0.5 to 0%
AAPL,2025-07-07,209.12037658691406,-1.6857856327623377,1.6857856327623377,0.0714465667922548,70.32137998232702,0.8721903944626007,4.411169452899522,Down,50229000.0,Monday,1-2%,50-75%,0.8-1.2x,July,0.0714465667922548,,,0 to 0.5%
AAPL,2025-07-08,209.1801300048828,0.028573694703504238,0.028573694703504238,-0.22855391368739042,70.60488869956575,0.7464763582168077,2.3590206981496387,Up,42848900.0,Tuesday,<1%,50-75%,<0.8x,July,0.22855391368739042,,,-0.5 to 0%
AAPL,2025-07-09,210.30567932128906,0.5380765928293396,0.5380765928293396,-0.2983905351254812,75.94521990957544,0.8674904872936438,1.5975381753905449,Up,48749400.0,Wednesday,<1%,75-100%,0.8-1.2x,July,0.2983905351254812,,,-0.5 to 0%
AAPL,2025-07-10,211.57064819335938,0.601490590341025,0.601490590341025,-0.866238243938755,81.94704732729973,0.79813319483863,-0.01412660277269051,Up,44443600.0,Thursday,<1%,75-100%,<0.8x,July,0.866238243938755,,,-1 to -0.5%
AAPL,2025-07-11,210.3256072998047,-0.5884752465364684,0.5884752465364684,-0.5825148191876184,76.03977108033995,0.728001554649775,-1.1191679142835254,Down,39765800.0,Friday,<1%,75-100%,<0.8x,July,0.5825148191876184,,,-1 to -0.5%
AAPL,2025-07-14,207.7956085205078,-1.2028962197125792,1.2028962197125792,0.28761378892048217,64.03582665478184,0.7143662471277824,-0.6334954479462973,Down,38840100.0,Monday,1-2%,50-75%,<0.8x,July,0.28761378892048217,,,0 to 0.5%
AAPL,2025-07-15,208.28369140625,0.23488604461725515,0.23488604461725515,0.5690790416521985,66.35160636323828,0.7845366358723012,-0.42854863825348977,Up,42296300.0,Tuesday,<1%,50-75%,<0.8x,July,0.5690790416521985,,,0.5 to 1%
AAPL,2025-07-16,209.3295440673828,0.5021289252517214,0.5021289252517214,0.19508932710332605,71.31380528771736,0.8772451577925574,-0.46415068630409895,Up,47490500.0,Wednesday,<1%,50-75%,0.8-1.2x,July,0.19508932710332605,,,0 to 0.5%
