RSI,ATR_Pct,BB_Position,BB_Width,MACD,MACD_Hist,MACD_Signal,Date,ClosePrice,NextOpen,OvernightReturn,Volume,Ticker
49.5,0.902,,,-0.2463,-0.106,-0.1403,2026-03-03,263.6889953613281,262.45001220703125,-0.46986532471676723,27533188,AAPL
39.62,0.822,24.76,1.99,-0.1903,-0.0928,-0.0975,2026-03-04,262.45001220703125,260.260009765625,-0.8344455475500889,27779487,AAPL
38.11,0.825,32.22,3.39,-1.2683,-0.3659,-0.9024,2026-03-05,260.260009765625,257.44000244140625,-1.0835346262986323,37096848,AAPL
35.39,0.857,30.04,4.44,-1.682,-0.1516,-1.5304,2026-03-06,257.44000244140625,259.8900146484375,0.9516827935817318,27536198,AAPL
48.72,0.817,85.28,2.17,-0.8903,0.4451,-1.3355,2026-03-09,259.8900146484375,260.7200012207031,0.3193607008673993,27976877,AAPL
63.3,0.753,73.67,3.26,0.3048,0.5056,-0.2008,2026-03-10,260.7200012207031,260.80999755859375,0.03451838657151374,21914637,AAPL
56.06,0.568,63.32,2.41,0.2504,0.0911,0.1593,2026-03-11,260.80999755859375,255.75,-1.9401087404469441,17045507,AAPL
30.1,0.638,20.68,4.22,-1.1545,-0.4324,-0.7221,2026-03-12,255.75,250.11500549316406,-2.203321410297532,28450536,AAPL
14.16,0.737,11.52,5.73,-2.2939,-0.6168,-1.6771,2026-03-13,250.11500549316406,252.77999877929688,1.0655071577485353,28629040,AAPL
35.87,0.613,41.88,2.93,-1.445,0.2322,-1.6771,2026-03-16,252.77999877929688,254.22999572753906,0.5736201262933616,16352087,AAPL
72.28,0.562,74.6,2.1,-0.527,0.3949,-0.9218,2026-03-17,254.22999572753906,249.91000366210938,-1.6992456193326122,15982427,AAPL
35.08,0.579,3.23,2.36,-1.1977,-0.238,-0.9596,2026-03-18,249.91000366210938,248.90699768066406,-0.40134687157278304,15044831,AAPL
16.15,0.663,24.7,3.67,-1.5293,-0.1531,-1.3762,2026-03-19,248.90699768066406,248.19000244140625,-0.28805748570303047,20884961,AAPL
34.39,0.68,30.62,2.13,-1.3059,0.0984,-1.4043,2026-03-20,248.19000244140625,251.44000244140625,1.3094806269512205,41665589,AAPL
62.43,0.742,78.69,2.67,0.0159,0.4978,-0.4819,2026-03-23,251.44000244140625,251.75,0.12328887829453627,29735252,AAPL
63.24,0.789,58.27,3.37,0.532,0.1912,0.3408,2026-03-24,251.75,252.57000732421875,0.32572286960030894,23200838,AAPL
55.33,0.657,47.53,1.83,0.6318,-0.0026,0.6344,2026-03-25,252.57000732421875,252.8800048828125,0.12273728059715161,20442956,AAPL
54.78,0.719,32.12,1.96,0.6668,-0.1504,0.8171,2026-03-26,252.8800048828125,248.6199951171875,-1.684597312309899,31619316,AAPL
36.91,0.83,1.95,3.61,-0.7733,-0.7644,-0.0089,2026-03-27,248.6199951171875,246.5399932861328,-0.8366188850073231,35467323,AAPL
23.97,0.767,23.27,5.8,-1.8134,-0.5112,-1.3022,2026-03-30,246.5399932861328,253.7899932861328,2.9406993580898266,26197301,AAPL
70.26,0.808,89.22,4.47,0.2611,0.8747,-0.6137,2026-03-31,253.7899932861328,255.69000244140625,0.748654086267031,32280271,AAPL
88.05,0.731,80.07,6.03,1.295,0.5961,0.6989,2026-04-01,255.69000244140625,255.88999938964844,0.07821852490614845,28817997,AAPL
57.87,0.686,76.11,2.93,1.1556,0.1237,1.0319,2026-04-02,255.88999938964844,258.8869934082031,1.1712040430275295,21329803,AAPL
57.69,0.839,75.76,3.81,1.8642,0.1637,1.7005,2026-04-06,258.8869934082031,253.49000549316406,-2.084688706832516,21725109,AAPL
45.8,1.189,40.59,6.29,-0.5523,-0.6333,0.081,2026-04-07,253.49000549316406,258.92999267578125,2.1460361610840195,51070515,AAPL
50.09,1.134,70.95,6.27,0.9366,0.4309,0.5057,2026-04-08,258.92999267578125,260.3900146484375,0.5638674599139248,30721456,AAPL
77.5,0.723,77.62,5.86,1.4788,0.3444,1.1344,2026-04-09,260.3900146484375,260.3800048828125,-0.00384414342405881,20137982,AAPL
56.89,0.588,71.29,2.2,1.3023,-0.0763,1.3786,2026-04-10,260.3800048828125,259.2099914550781,-0.4493484160816963,21193428,AAPL
44.35,0.537,48.99,2.04,0.3483,-0.3236,0.6718,2026-04-13,259.2099914550781,258.8550109863281,-0.13694706240192644,24905483,AAPL
41.38,0.574,50.54,1.74,0.1928,-0.1198,0.3126,2026-04-14,258.8550109863281,266.3699951171875,2.9031634744966617,32324448,AAPL
81.54,0.671,97.1,4.86,1.9235,0.7213,1.2021,2026-04-15,266.3699951171875,263.3599853515625,-1.130010819837557,37913054,AAPL
65.23,0.746,60.67,4.3,1.2748,-0.1017,1.3766,2026-04-16,263.3599853515625,270.18499755859375,2.5915144997902706,32533890,AAPL
60.26,0.784,79.56,5.01,2.6822,0.3856,2.2966,2026-04-17,270.18499755859375,272.92999267578125,1.015968740674511,45784116,AAPL
76.64,0.728,73.08,6.06,2.8562,0.0498,2.8064,2026-04-20,272.92999267578125,266.2200012207031,-2.458502779153715,27435522,AAPL
38.71,0.695,12.17,3.91,0.4206,-0.9679,1.3884,2026-04-21,266.2200012207031,273.19000244140625,2.6181358232827856,40586763,AAPL
50.69,0.694,71.09,4.22,1.4798,0.1756,1.3042,2026-04-22,273.19000244140625,273.44000244140625,0.09151140150291948,33053337,AAPL
77.64,0.618,68.18,4.54,1.4454,-0.018,1.4634,2026-04-23,273.44000244140625,271.05999755859375,-0.8703938200565586,24747520,AAPL
39.6,0.597,27.09,2.03,0.206,-0.4941,0.7002,2026-04-24,271.05999755859375,267.67999267578125,-1.2469582060266382,27728503,AAPL
26.64,0.629,27.04,4.1,-1.0398,-0.5062,-0.5336,2026-04-27,267.67999267578125,270.760009765625,1.1506340309767937,28451020,AAPL
48.95,0.635,72.12,2.61,-0.0564,0.277,-0.3334,2026-04-28,270.760009765625,270.19000244140625,-0.21052123787118626,27191458,AAPL
60.89,0.597,66.81,2.37,0.0384,0.1325,-0.0941,2026-04-29,270.19000244140625,271.3599853515625,0.4330222804635353,19702864,AAPL
52.28,0.763,57.2,2.26,0.8311,0.3031,0.5281,2026-04-30,271.3599853515625,280.1499938964844,3.239242710576473,45398109,AAPL
67.81,1.198,71.19,8.35,3.1092,0.5985,2.5108,2026-05-01,280.1499938964844,276.8399963378906,-1.1815090596849376,69553265,AAPL
60.47,1.103,45.7,6.16,1.2699,-0.5851,1.855,2026-05-04,276.8399963378906,284.1700134277344,2.647744974283728,32281624,AAPL
62.24,0.783,80.82,4.38,2.3864,0.375,2.0114,2026-05-05,284.1700134277344,287.5299987792969,1.1823856117095133,35568519,AAPL
83.43,0.793,81.23,5.98,2.9713,0.291,2.6803,2026-05-06,287.5299987792969,287.4700012207031,-0.020866538743247176,39976395,AAPL
61.82,0.743,61.1,3.89,2.5258,-0.3311,2.8568,2026-05-07,287.4700012207031,293.2799987792969,2.0210796027141598,34110626,AAPL
67.13,0.722,81.91,3.95,3.0181,0.0276,2.9905,2026-05-08,293.2799987792969,292.739990234375,-0.18412730058972038,38340021,AAPL
68.09,0.661,65.49,2.94,2.0504,-0.4248,2.4753,2026-05-11,292.739990234375,294.8699951171875,0.7276098086589355,29620502,AAPL
59.62,0.528,91.46,1.37,1.8935,-0.1705,2.0641,2026-05-12,294.8699951171875,298.8800048828125,1.3599246556202926,32207107,AAPL
82.08,0.527,84.0,3.71,2.5383,0.2152,2.3231,2026-05-13,298.8800048828125,298.1650085449219,-0.2392252162104258,38298144,AAPL
64.94,0.611,61.17,2.88,1.8511,-0.2748,2.1259,2026-05-14,298.1650085449219,300.2200012207031,0.689213226531793,26916267,AAPL
55.28,0.669,61.2,2.08,1.8778,-0.1646,2.0424,2026-05-15,300.2200012207031,297.8999938964844,-0.772769074274049,41065112,AAPL
49.17,0.732,40.07,2.94,0.19,-0.6067,0.7967,2026-05-18,297.8999938964844,298.9800109863281,0.36254350855040585,27456927,AAPL
44.65,0.609,55.47,3.04,0.2391,-0.0366,0.2757,2026-05-19,298.9800109863281,302.2650146484375,1.0987368858781599,27227276,AAPL
78.04,0.528,94.98,2.86,1.0954,0.4082,0.6872,2026-05-20,302.2650146484375,305.0899963378906,0.9346042553878942,27961261,AAPL
89.51,0.527,87.03,3.59,1.8486,0.4151,1.4335,2026-05-21,305.0899963378906,308.8800048828125,1.2422591990608467,27156274,AAPL
77.27,0.547,75.9,4.87,2.7688,0.2849,2.484,2026-05-22,308.8800048828125,308.7049865722656,-0.056662233806059614,34968851,AAPL
59.45,0.962,,,1.3226,0.6782,0.6444,2026-03-03,403.7799987792969,405.0,0.302145035512269,29160883,MSFT
61.02,0.961,62.25,4.36,2.3328,0.4091,1.9237,2026-03-04,405.0,410.7200012207031,1.4123459804205263,28327467,MSFT
67.34,0.897,85.91,2.82,2.4668,0.1943,2.2725,2026-03-05,410.7200012207031,408.6199951171875,-0.5112987186585038,30812972,MSFT
63.18,0.77,45.88,1.8,1.8761,-0.3682,2.2443,2026-03-06,408.6199951171875,409.45001220703125,0.2031268904512995,25187816,MSFT
46.84,0.715,59.06,2.0,0.5558,-0.4667,1.0225,2026-03-09,409.45001220703125,405.760009765625,-0.9012095082172045,23110487,MSFT
44.61,0.752,31.46,2.22,-0.2566,-0.4167,0.1601,2026-03-10,405.760009765625,404.82000732421875,-0.23166463396656622,24588764,MSFT
37.04,0.661,40.41,1.77,-0.7855,-0.2124,-0.5731,2026-03-11,404.82000732421875,401.8900146484375,-0.7237766470950757,18919391,MSFT
35.82,0.626,2.85,1.32,-0.8497,-0.1217,-0.728,2026-03-12,401.8900146484375,395.6099853515625,-1.5626238692117322,20103779,MSFT
20.98,0.697,10.31,3.57,-2.6339,-0.7651,-1.8688,2026-03-13,395.6099853515625,399.9599914550781,1.099569339648987,21934960,MSFT
42.53,0.622,53.47,3.18,-1.3972,0.462,-1.8592,2026-03-16,399.9599914550781,399.5,-0.11500936716311028,21014863,MSFT
70.41,0.514,71.46,1.6,-0.7295,0.3623,-1.0917,2026-03-17,399.5,391.67498779296875,-1.9587014285434967,12440519,MSFT
25.98,0.573,2.93,2.92,-2.1362,-0.5165,-1.6197,2026-03-18,391.67498779296875,388.87799072265625,-0.714111739958978,13516680,MSFT
21.2,0.604,24.2,4.51,-3.0286,-0.3473,-2.6813,2026-03-19,388.87799072265625,381.8699951171875,-1.8021065148083326,17950777,MSFT
18.93,0.652,13.21,4.41,-3.9082,-0.4013,-3.507,2026-03-20,381.8699951171875,382.9800109863281,0.2906789963427192,31155296,MSFT
34.74,0.694,31.26,2.8,-2.8935,0.3025,-3.1961,2026-03-23,382.9800109863281,372.75,-2.6711605548241812,22361615,MSFT
31.55,0.837,14.52,5.27,-4.5676,-0.4183,-4.1493,2026-03-24,372.75,371.0299987792969,-0.4614356058224356,34122116,MSFT
22.24,0.788,28.6,5.72,-4.2495,0.112,-4.3615,2026-03-25,371.0299987792969,365.75,-1.4230651959863838,26851432,MSFT
28.49,0.654,4.89,3.0,-4.1201,-0.0043,-4.1159,2026-03-26,365.75,356.6499938964844,-2.4880399462790526,30622843,MSFT
18.51,0.754,9.87,6.08,-5.3824,-0.4252,-4.9572,2026-03-27,356.6499938964844,358.760009765625,0.5916208902986941,31350300,MSFT
37.26,0.879,31.95,4.58,-3.8616,0.4028,-4.2644,2026-03-30,358.760009765625,370.1600036621094,3.177609986110741,35612618,MSFT
72.67,0.994,91.53,5.16,0.2035,1.8648,-1.6613,2026-03-31,370.1600036621094,369.45001220703125,-0.1918066371444649,32673288,MSFT
73.65,0.842,64.84,5.59,1.2526,0.6155,0.6371,2026-04-01,369.45001220703125,373.5,1.0962207766010978,23494983,MSFT
58.49,0.69,86.21,2.6,1.516,0.3796,1.1363,2026-04-02,373.5,372.8609924316406,-0.1710863636839033,18895256,MSFT
59.81,0.65,73.04,1.83,1.3877,0.0206,1.3671,2026-04-06,372.8609924316406,372.2699890136719,-0.15850502733323335,13469224,MSFT
45.75,0.646,66.07,1.46,0.5317,-0.2152,0.7469,2026-04-07,372.2699890136719,374.29998779296875,0.5453028283787686,16377058,MSFT
52.62,0.916,62.37,3.13,1.3052,-0.0347,1.3399,2026-04-08,374.29998779296875,373.010009765625,-0.3446374751305825,27066493,MSFT
51.07,1.007,54.65,3.51,0.1098,-0.2868,0.3966,2026-04-09,373.010009765625,370.8699951171875,-0.5737150726282558,25276407,MSFT
41.91,0.747,36.01,2.92,-0.1518,-0.2177,0.0659,2026-04-10,370.8699951171875,384.3699951171875,3.6400895671633515,22799994,MSFT
81.73,0.651,96.4,5.46,2.8683,1.1931,1.6752,2026-04-13,384.3699951171875,393.1099853515625,2.2738482049594833,28701198,MSFT
